Name,Hue (degrees),HSL.S (%),"HSL.L (%), HSV.S (%), HSV.V (%)"
Light Thulian pink,340.0,64.0,73.0
Light yellow,60.0,100.0,94.0
Lilac,300.0,26.0,71.0
Lilac Luster,311.0,12.0,64.0
Lime (color wheel),75.0,100.0,50.0
Lime (web) (X11 green),120.0,100.0,50.0
Lime green,120.0,61.0,50.0
Limerick,72.0,91.0,40.0
Lincoln green,106.0,89.0,18.0
Linen,30.0,67.0,94.0
Loeen(lopen)look/vomit+indogo+Lopen+Gabriel,33.0,41.0,63.0
Liseran Purple,333.0,63.0,65.0
Little boy blue,212.0,62.0,64.0
Liver,9.0,18.0,34.0
Liver (dogs),29.0,64.0,44.0
Liver (organ),12.0,55.0,27.0
Liver chestnut,27.0,28.0,47.0
Livid,210.0,50.0,60.0
Lumber,28.0,100.0,90.0
Lust,0.0,80.0,51.0
Maastricht Blue,212.0,100.0,12.0
Macaroni and Cheese,27.0,100.0,77.0
Madder Lake,359.0,60.0,50.0
Magenta,300.0,100.0,50.0
Magenta (Crayola),332.0,100.0,67.0
Magenta (dye),328.0,73.0,46.0
Magenta (Pantone),334.0,60.0,54.0
Magenta (process),326.0,100.0,50.0
Magenta haze,327.0,39.0,45.0
Magenta-pink,325.0,60.0,50.0
Magic mint,153.0,70.0,80.0
Magic Potion,349.0,100.0,63.0
Magnolia,262.0,100.0,98.0
Mahogany,20.0,100.0,38.0
Maize,54.0,95.0,67.0
Majorelle Blue,247.0,67.0,59.0
Malachite,140.0,90.0,45.0
Manatee,231.0,10.0,63.0
Mandarin,18.0,88.0,62.0
Mango Tango,20.0,100.0,63.0
Mantis,110.0,44.0,58.0
Mardi Gras,301.0,100.0,27.0
Marigold,39.0,83.0,52.0
Maroon (Crayola),346.0,71.0,45.0
Maroon (HTML/CSS),0.0,100.0,25.0
Maroon (X11),338.0,57.0,44.0
Mauve,276.0,100.0,85.0
Mauve taupe,343.0,21.0,47.0
Mauvelous,348.0,73.0,77.0
Maximum Blue,195.0,57.0,54.0
Maximum Blue Green,180.0,60.0,47.0
Maximum Blue Purple,240.0,54.0,79.0
Maximum Green,90.0,48.0,37.0
Maximum Green Yellow,65.0,75.0,61.0
Maximum Purple,290.0,43.0,35.0
Maximum Red,0.0,74.0,49.0
Maximum Red Purple,325.0,48.0,44.0
Maximum Yellow,60.0,95.0,60.0
Maximum Yellow Red,40.0,87.0,62.0
May green,112.0,38.0,41.0
Maya blue,205.0,94.0,72.0
Meat brown,44.0,77.0,56.0
Medium aquamarine,154.0,64.0,63.0
Medium blue,240.0,100.0,40.0
Medium candy apple red,350.0,95.0,45.0
Medium carmine,5.0,54.0,45.0
Medium champagne,48.0,75.0,81.0
Medium electric blue,209.0,96.0,30.0
Medium jungle green,161.0,31.0,16.0
Medium lavender magenta,300.0,47.0,75.0
Medium orchid,288.0,59.0,58.0
Medium Persian blue,203.0,100.0,32.0
Medium purple,260.0,60.0,65.0
Medium red-violet,324.0,57.0,47.0
Medium ruby,337.0,45.0,46.0
Medium sea green,147.0,50.0,47.0
Medium sky blue,190.0,73.0,71.0
Medium slate blue,249.0,80.0,67.0
Medium spring bud,73.0,55.0,70.0
Medium spring green,157.0,100.0,49.0
Medium taupe,9.0,18.0,34.0
Medium turquoise,178.0,60.0,55.0
Medium Tuscan red,9.0,34.0,35.0
Medium vermilion,14.0,68.0,54.0
Medium violet-red,322.0,81.0,43.0
Mellow apricot,30.0,90.0,72.0
Mellow yellow,47.0,90.0,73.0
Melon,7.0,95.0,85.0
Metallic Seaweed,186.0,87.0,29.0
Metallic Sunburst,41.0,47.0,42.0
Mexican pink,327.0,100.0,45.0
Middle Blue,126.0,68.0,70.0
Middle Blue Green,141.0,50.0,70.0
Middle Blue Purple,260.0,37.0,60.0
Middle Red Purple,139.0,75.0,12.0
Middle Green,130.0,29.0,43.0
Middle Green Yellow,72.0,43.0,56.0
Middle Purple,325.0,53.0,68.0
Middle Red,15.0,69.0,68.0
Middle Red Purple,165.0,100.0,16.0
Middle Yellow,55.0,100.0,50.0
Middle Yellow Red,236.0,48.0,44.0
Midnight,300.0,49.0,29.0
Midnight blue,240.0,64.0,27.0
Midnight green (eagle green),187.0,100.0,16.0
Mikado yellow,45.0,100.0,52.0
Milk,72.0,100.0,98.0
Mimi Pink,336.0,100.0,93.0
Mindaro,72.0,90.0,75.0
Ming,188.0,40.0,35.0
Minion Yellow,52.0,89.0,64.0
Mint,158.0,49.0,47.0
Mint cream,150.0,100.0,98.0
Mint green,120.0,100.0,80.0
Misty Moss,54.0,33.0,60.0
Misty rose,6.0,100.0,94.0
Moccasin,34.0,78.0,91.0
Mode beige,43.0,73.0,34.0
Moonstone blue,199.0,39.0,61.0
Mordant red 19,4.0,100.0,34.0
Moss green,75.0,26.0,48.0
Mountain Meadow,161.0,59.0,46.0
Mountbatten pink,323.0,13.0,54.0
MSU Green,167.0,48.0,18.0
Mughal green,120.0,33.0,28.0
Mulberry,328.0,51.0,53.0
Mummy's Tomb,130.0,5.0,53.0
Mustard,47.0,100.0,67.0
Myrtle green,176.0,42.0,33.0
Mystic,338.0,62.0,58.0
Mystic Maroon,329.0,44.0,47.0
Nadeshiko pink,339.0,80.0,82.0
Napier green,100.0,100.0,25.0
Naples yellow,48.0,94.0,67.0
Navajo white,36.0,100.0,84.0
Navy,240.0,100.0,25.0
Navy purple,265.0,79.0,63.0
Neon Carrot,31.0,100.0,63.0
Neon fuchsia,349.0,99.0,63.0
Neon green,111.0,100.0,54.0
New Car,223.0,71.0,45.0
New York pink,3.0,52.0,67.0
Nickel,120.0,1.0,45.0
Non-photo blue,193.0,67.0,79.0
North Texas Green,140.0,93.0,29.0
Nyanza,97.0,100.0,93.0
Ocean Blue,247.0,47.0,48.0
Ocean Boat Blue,202.0,100.0,37.0
Ocean Green,157.0,48.0,52.0
Ochre,30.0,71.0,47.0
Office green,120.0,100.0,25.0
Ogre Odor,6.0,98.0,62.0
Old burgundy,6.0,19.0,22.0
Old gold,49.0,61.0,52.0
Old heliotrope,289.0,21.0,30.0
Old lace,39.0,85.0,95.0
Old lavender,304.0,8.0,44.0
Old mauve,336.0,36.0,30.0
Old moss green,54.0,43.0,37.0
Old rose,359.0,34.0,63.0
Old silver,60.0,1.0,51.0
Olive,60.0,100.0,25.0
Olive Drab (#3),80.0,60.0,35.0
Olive Drab #7,43.0,32.0,18.0
Olivine,87.0,33.0,59.0
Onyx,195.0,4.0,22.0
Opera mauve,319.0,26.0,62.0
Orange (color wheel),30.0,100.0,50.0
Orange (Crayola),18.0,100.0,61.0
Orange (Pantone),21.0,100.0,50.0
Orange (RYB),36.0,98.0,50.0
Orange (web),39.0,100.0,50.0
Orange peel,37.0,100.0,50.0
Orange-red,16.0,100.0,50.0
Orange Soda,10.0,95.0,61.0
Orange-yellow,45.0,91.0,69.0
Orchid,302.0,59.0,65.0
Orchid pink,342.0,67.0,85.0
Orioles orange,15.0,97.0,53.0
Otter brown,30.0,51.0,26.0
Outer Space,191.0,8.0,28.0
Outrageous Orange,12.0,100.0,65.0
Oxford Blue,212.0,100.0,14.0
OU Crimson Red,0.0,100.0,30.0
Pacific Blue,191.0,76.0,45.0
Pakistan green,120.0,100.0,20.0
Palatinate blue,234.0,76.0,52.0
Palatinate purple,308.0,44.0,28.0
Pale aqua,206.0,46.0,82.0
Pale blue,180.0,65.0,81.0
Pale brown,30.0,29.0,46.0
Pale carmine,5.0,54.0,45.0
Pale cerulean,205.0,55.0,75.0
Pale chestnut,358.0,41.0,77.0
Pale copper,18.0,61.0,63.0
Pale cornflower blue,210.0,68.0,80.0
Pale cyan,200.0,89.0,75.0
Pale gold,34.0,65.0,72.0
Pale goldenrod,55.0,67.0,80.0
Pale green,120.0,93.0,79.0
Pale lavender,255.0,100.0,91.0
Pale magenta,310.0,91.0,75.0
Pale magenta-pink,330.0,100.0,80.0
Pale pink,354.0,76.0,92.0
Pale plum,300.0,47.0,75.0
Pale red-violet,340.0,60.0,65.0
Pale robin egg blue,169.0,52.0,73.0
Pale silver,21.0,11.0,76.0
Pale spring bud,59.0,55.0,83.0
Pale taupe,25.0,32.0,62.0
Pale turquoise,180.0,65.0,81.0
Pale violet,270.0,100.0,80.0
Pale violet-red,340.0,60.0,65.0
Palm Leaf,88.0,5.0,53.0
Pansy purple,329.0,67.0,28.0
Paolo Veronese green,168.0,100.0,30.0
Papaya whip,37.0,100.0,92.0
Paradise pink,347.0,77.0,57.0
Paris Green,140.0,52.0,55.0
Parrot Pink,353.0,46.0,72.0
Pastel blue,196.0,26.0,75.0
Pastel brown,28.0,22.0,42.0
Pastel gray,60.0,10.0,79.0
Pastel green,120.0,60.0,67.0
Pastel magenta,333.0,80.0,78.0
Pastel orange,35.0,100.0,64.0
Pastel pink,1.0,47.0,76.0
Pastel purple,295.0,13.0,66.0
Pastel red,3.0,100.0,69.0
Pastel violet,302.0,32.0,70.0
Pastel yellow,60.0,96.0,79.0
Patriarch,300.0,100.0,25.0
Payne's grey,206.0,18.0,40.0
Peach,39.0,100.0,85.0
Peach,26.0,100.0,82.0
Peach-orange,30.0,100.0,80.0
Peach puff,28.0,100.0,86.0
Peach-yellow,39.0,89.0,83.0
Pear,66.0,75.0,54.0
Pearl,42.0,45.0,85.0
Pearl Aqua,162.0,51.0,69.0
Pearly purple,316.0,35.0,56.0
Peridot,59.0,100.0,45.0
Periwinkle,240.0,100.0,90.0
Permanent Geranium Lake,0.0,75.0,53.0
Persian blue,229.0,74.0,42.0
Persian green,173.0,100.0,33.0
Persian indigo,258.0,74.0,27.0
Persian orange,26.0,63.0,60.0
Persian pink,329.0,88.0,73.0
Persian plum,0.0,60.0,27.0
Persian red,0.0,60.0,50.0
Persian rose,326.0,99.0,58.0
Persimmon,22.0,100.0,46.0
Peru,30.0,59.0,53.0
Pewter Blue,200.0,23.0,63.0
Phlox,292.0,100.0,50.0
Phthalo blue,233.0,100.0,27.0
Phthalo green,151.0,49.0,14.0
Picton blue,200.0,78.0,59.0
Pictorial carmine,338.0,89.0,40.0
Piggy pink,343.0,89.0,93.0
Pine green,175.0,98.0,24.0
Pineapple,289.0,74.0,19.0
Pink,350.0,100.0,88.0
Pink (Pantone),328.0,64.0,56.0
Pink Flamingo,300.0,97.0,72.0
Pink lace,319.0,100.0,93.0
Pink lavender,311.0,33.0,77.0
Pink-orange,20.0,100.0,70.0
Pink pearl,324.0,55.0,79.0
Pink raspberry,339.0,100.0,30.0
Pink Sherbet,346.0,87.0,76.0
Pistachio,96.0,42.0,61.0
Pixie Powder,260.0,76.0,30.0
Platinum,40.0,5.0,89.0
Plum,307.0,35.0,41.0
Plum (web),300.0,47.0,75.0
Plump Purple,251.0,44.0,49.0
Polished Pine,166.0,28.0,50.0
Pomp and Power,290.0,19.0,47.0
Popstar,350.0,46.0,53.0
Portland Orange,11.0,100.0,61.0
Powder blue,187.0,52.0,80.0
Princess Perfume,324.0,100.0,76.0
Princeton orange,26.0,91.0,55.0
Prune,0.0,60.0,27.0
Prussian blue,205.0,100.0,16.0
Psychedelic purple,292.0,100.0,50.0
Puce,345.0,40.0,67.0
Puce red,353.0,42.0,32.0
Pullman Brown (UPS Brown),33.0,63.0,24.0
Pullman Green,45.0,36.0,17.0
Pumpkin,24.0,100.0,55.0
Purple (HTML),300.0,100.0,25.0
Purple (Munsell),288.0,100.0,39.0
Purple (X11),277.0,87.0,53.0
Purple Heart,270.0,49.0,41.0
Purple mountain majesty,269.0,30.0,59.0
Purple navy,236.0,24.0,40.0
Purple pizzazz,312.0,99.0,65.0
Purple Plum,285.0,41.0,52.0
Purple taupe,311.0,11.0,28.0
Purpureus,288.0,38.0,49.0
Quartz,313.0,6.0,30.0
Queen blue,211.0,38.0,42.0
Queen pink,336.0,38.0,85.0
Quick Silver,0.0,0.0,65.0
Quinacridone magenta,338.0,42.0,39.0
Rackley,204.0,30.0,51.0
Radical Red,348.0,100.0,60.0
Raisin black,300.0,4.0,14.0
Rajah,29.0,95.0,68.0
Raspberry,337.0,91.0,47.0
Raspberry glace,343.0,21.0,47.0
Raspberry pink,330.0,72.0,60.0
Raspberry rose,338.0,45.0,48.0
Raw Sienna,24.0,60.0,59.0
Raw umber,33.0,31.0,39.0
Razzle dazzle rose,315.0,100.0,60.0
Razzmatazz,338.0,77.0,52.0
Razzmic Berry,308.0,29.0,43.0
Rebecca Purple,270.0,49.0,40.0
Red,0.0,100.0,50.0
Red (Crayola),347.0,86.0,53.0
Red (Munsell),345.0,100.0,47.0
Red (NCS),345.0,98.0,39.0
Red (Pantone),355.0,84.0,55.0
Red (pigment),358.0,85.0,52.0
Red (RYB),5.0,99.0,53.0
Red-brown,0.0,59.0,41.0
Red devil,353.0,99.0,26.0
Red-orange,3.0,100.0,64.0
Red-purple,328.0,100.0,45.0
Red Salsa,355.0,98.0,61.0
Red-violet,322.0,81.0,43.0
Redwood,6.0,33.0,48.0
Regalia,267.0,48.0,34.0
Registration black,0.0,0.0,0.0
Resolution blue,224.0,100.0,26.0
Rhythm,242.0,13.0,53.0
Rich black,180.0,100.0,13.0
Rich black (FOGRA29),207.0,90.0,4.0
Rich black (FOGRA39),210.0,50.0,1.0
Rich brilliant lavender,291.0,98.0,83.0
Rich carmine,342.0,100.0,42.0
Rich electric blue,199.0,93.0,42.0
Rich lavender,276.0,51.0,62.0
Rich lilac,284.0,55.0,61.0
Rich maroon,338.0,57.0,44.0
Rifle green,84.0,15.0,26.0
Roast coffee,1.0,27.0,35.0
Robin egg blue,180.0,100.0,40.0
Rocket metallic,355.0,4.0,52.0
Roman silver,221.0,8.0,55.0
Rose,330.0,100.0,50.0
Rose bonbon,330.0,94.0,62.0
Rose Dust,344.0,25.0,49.0
Rose ebony,4.0,19.0,34.0
Rose gold,351.0,34.0,57.0
Rose madder,355.0,77.0,52.0
Rose pink,320.0,100.0,70.0
Rose quartz,303.0,10.0,63.0
Rose red,340.0,73.0,44.0
Rose taupe,0.0,22.0,46.0
Rose vale,357.0,37.0,49.0
Rosewood,353.0,100.0,20.0
Rosso corsa,0.0,100.0,42.0
Rosy brown,0.0,25.0,65.0
Royal azure,220.0,100.0,33.0
Royal blue,219.0,100.0,20.0
Royal blue,225.0,73.0,57.0
Royal fuchsia,321.0,64.0,48.0
Royal purple,267.0,35.0,49.0
Royal yellow,48.0,94.0,67.0
Ruber,339.0,58.0,54.0
Rubine red,335.0,100.0,41.0
Ruby,337.0,86.0,47.0
Ruby red,354.0,80.0,34.0
Ruddy,351.0,100.0,50.0
Ruddy brown,25.0,65.0,45.0
Ruddy pink,354.0,58.0,72.0
Rufous,8.0,92.0,34.0
Russet,26.0,65.0,30.0
Russian green,120.0,17.0,49.0
Russian violet,270.0,54.0,20.0
Rust,18.0,86.0,39.0
Rusty red,352.0,70.0,51.0
Sacramento State green,164.0,100.0,17.0
Saddle brown,25.0,76.0,31.0
Safety orange,28.0,100.0,50.0
Safety orange (blaze orange),24.0,100.0,50.0
Safety yellow,53.0,98.0,47.0
Saffron,45.0,90.0,57.0
Sage,55.0,27.0,64.0
St. Patrick's blue,236.0,55.0,31.0
Salmon,6.0,93.0,71.0
Salmon pink,350.0,100.0,78.0
Sand,45.0,35.0,63.0
Sand dune,43.0,73.0,34.0
Sandstorm,52.0,82.0,59.0
Sandy brown,28.0,87.0,67.0
Sandy Tan,30.0,95.0,85.0
Sandy taupe,43.0,73.0,34.0
Sangria,356.0,100.0,29.0
Sap green,93.0,50.0,33.0
Sapphire,216.0,85.0,39.0
Sapphire blue,203.0,100.0,32.0
Sasquatch Socks,341.0,100.0,64.0
Satin sheen gold,43.0,59.0,50.0
Scarlet,8.0,100.0,50.0
Scarlet,350.0,98.0,52.0
Schauss pink,344.0,100.0,78.0
School bus yellow,51.0,100.0,50.0
Screamin' Green,120.0,100.0,70.0
Sea blue,197.0,100.0,29.0
Sea Foam Green,149.0,38.0,82.0
Sea green,146.0,50.0,36.0
Sea Serpent,184.0,58.0,55.0
Seal brown,0.0,43.0,14.0
Seashell,25.0,100.0,97.0
Selective yellow,44.0,100.0,50.0
Sepia,30.0,70.0,26.0
Shadow,37.0,19.0,45.0
Shadow blue,214.0,20.0,56.0
Shampoo,318.0,100.0,91.0
Shamrock green,156.0,100.0,31.0
Sheen Green,80.0,100.0,42.0
Shimmering Blush,349.0,52.0,69.0
Shiny Shamrock,141.0,29.0,51.0
Shocking pink,315.0,98.0,52.0
Shocking pink (Crayola),300.0,100.0,72.0
Sienna,12.0,71.0,31.0
Silver,0.0,0.0,75.0
Silver chalice,0.0,0.0,67.0
Silver Lake blue,212.0,40.0,55.0
Silver pink,3.0,16.0,72.0
Silver sand,200.0,2.0,75.0
Sinopia,17.0,90.0,42.0
Sizzling Red,351.0,100.0,61.0
Sizzling Sunrise,52.0,100.0,50.0
Skobeloff,180.0,100.0,23.0
Sky blue,197.0,71.0,73.0
Sky magenta,320.0,49.0,63.0
Slate blue,248.0,53.0,58.0
Slate gray,210.0,13.0,50.0
Smalt (Dark powder blue),220.0,100.0,30.0
Slimy Green,111.0,73.0,34.0
Smashed Pumpkin,16.0,100.0,61.0
Smitten,329.0,55.0,52.0
Smoke,132.0,6.0,48.0
Smokey Topaz,15.0,59.0,32.0
Smoky black,30.0,33.0,5.0
Smoky Topaz,357.0,41.0,41.0
Snow,0.0,100.0,99.0
Soap,249.0,55.0,86.0
Solid pink,352.0,42.0,38.0
Sonic silver,0.0,0.0,46.0
Spartan Crimson,359.0,79.0,35.0
Space cadet,226.0,47.0,22.0
Spanish bistre,52.0,44.0,35.0
Spanish blue,203.0,100.0,36.0
Spanish carmine,340.0,100.0,41.0
Spanish crimson,345.0,80.0,50.0
Spanish gray,0.0,0.0,60.0
Spanish green,153.0,100.0,28.0
Spanish orange,25.0,100.0,45.0
Spanish pink,1.0,78.0,86.0
Spanish red,350.0,100.0,45.0
Spanish sky blue,180.0,100.0,50.0
Spanish violet,264.0,53.0,33.0
Spanish viridian,163.0,100.0,25.0
Spicy mix,17.0,29.0,42.0
Spiro Disco Ball,195.0,98.0,52.0
Spring bud,80.0,100.0,49.0
Spring Frost,94.0,100.0,58.0
Spring green,150.0,100.0,50.0
Star command blue,200.0,100.0,36.0
Steel blue,207.0,44.0,49.0
Steel pink,300.0,60.0,50.0
Steel Teal,181.0,19.0,46.0
Stil de grain yellow,48.0,94.0,67.0
Stizza,0.0,100.0,30.0
Stormcloud,189.0,15.0,36.0
Straw,54.0,68.0,66.0
Strawberry,341.0,96.0,67.0
Sugar Plum,325.0,30.0,44.0
Sunburnt Cyclops,356.0,100.0,63.0
Sunglow,45.0,100.0,60.0
Sunny,60.0,82.0,71.0
Sunray,36.0,71.0,62.0
Sunset,35.0,89.0,81.0
Sunset orange,4.0,98.0,66.0
Super pink,323.0,51.0,62.0
Sweet Brown,3.0,55.0,43.0
Tan,34.0,44.0,69.0
Tangelo,19.0,100.0,49.0
Tangerine,33.0,100.0,47.0
Tangerine yellow,48.0,100.0,50.0
Tango pink,355.0,68.0,67.0
Tart Orange,2.0,96.0,63.0
Taupe,27.0,18.0,24.0
Taupe gray,320.0,3.0,53.0
Tea green,100.0,62.0,85.0
Tea rose,5.0,90.0,72.0
Tea rose,0.0,69.0,86.0
Teal,180.0,100.0,25.0
Teal blue,194.0,43.0,37.0
Teal deer,140.0,61.0,75.0
Teal green,179.0,100.0,25.0
Telemagenta,334.0,62.0,51.0
Tenné (tawny),25.0,100.0,40.0
Terra cotta,10.0,70.0,62.0
Thistle,300.0,24.0,80.0
Thulian pink,333.0,63.0,65.0
Tickle Me Pink,342.0,95.0,76.0
Tiffany Blue,178.0,90.0,38.0
Tiger's eye,30.0,73.0,56.0
Timberwolf,33.0,11.0,84.0
Titanium yellow,58.0,100.0,47.0
Tomato,9.0,100.0,64.0
Toolbox,246.0,40.0,59.0
Topaz,35.0,100.0,74.0
Tractor red,350.0,98.0,52.0
Trolley Grey,0.0,0.0,50.0
Tropical rain forest,168.0,100.0,23.0
Tropical violet,282.0,47.0,76.0
True Blue,207.0,100.0,41.0
Tufts Blue,210.0,71.0,56.0
Tulip,357.0,100.0,76.0
Tumbleweed,24.0,57.0,70.0
Turkish rose,347.0,31.0,58.0
Turquoise,174.0,72.0,56.0
Turquoise blue,176.0,100.0,50.0
Turquoise green,142.0,40.0,73.0
Turquoise Surf,182.0,100.0,40.0
Turtle green,75.0,26.0,48.0
Tuscan,35.0,89.0,81.0
Tuscan brown,25.0,34.0,33.0
Tuscan red,0.0,27.0,38.0
Tuscan tan,26.0,30.0,50.0
Tuscany,0.0,24.0,68.0
Twilight lavender,329.0,31.0,41.0
Tyrian purple,325.0,96.0,20.0
UA blue,222.0,100.0,33.0
UA red,339.0,100.0,43.0
Ube,253.0,39.0,62.0
UCLA Blue,221.0,28.0,46.0
UCLA Gold,42.0,100.0,50.0
UFO Green,141.0,61.0,53.0
Ultramarine,244.0,87.0,30.0
Ultramarine blue,228.0,90.0,61.0
Ultra pink,300.0,100.0,72.0
Ultra red,350.0,96.0,71.0
Umber,21.0,16.0,33.0
Unbleached silk,22.0,100.0,90.0
United Nations blue,216.0,73.0,63.0
University of California Gold,40.0,65.0,44.0
Unmellow yellow,60.0,100.0,70.0
UP Forest green,149.0,97.0,14.0
UP Maroon,359.0,76.0,27.0
Upsdell red,356.0,69.0,40.0
Urobilin,44.0,76.0,51.0
USAFA blue,209.0,100.0,30.0
USC Cardinal,0.0,100.0,30.0
USC Gold,48.0,100.0,50.0
University of Tennessee Orange,31.0,100.0,48.0
Utah Crimson,342.0,100.0,41.0
Van Dyke Brown,25.0,44.0,28.0
Vanilla,48.0,75.0,81.0
Vanilla ice,344.0,81.0,76.0
Vegas gold,50.0,48.0,56.0
Venetian red,356.0,92.0,41.0
Verdigris,177.0,46.0,48.0
Vermilion,5.0,76.0,55.0
Vermilion,8.0,76.0,48.0
Veronica,277.0,87.0,53.0
Very light azure,208.0,94.0,72.0
Very light blue,240.0,100.0,70.0
Very light malachite green,135.0,75.0,65.0
Very light tangelo,25.0,100.0,73.0
Very pale orange,30.0,100.0,88.0
Very pale yellow,60.0,100.0,88.0
Violet,274.0,100.0,50.0
Violet (color wheel),270.0,100.0,50.0
Violet (RYB),286.0,99.0,35.0
Violet (web),300.0,76.0,72.0
Violet-blue,229.0,56.0,45.0
Violet-red,336.0,91.0,65.0
Viridian,161.0,34.0,38.0
Viridian green,181.0,100.0,30.0
Vista blue,218.0,55.0,67.0
Vivid amber,45.0,100.0,40.0
Vivid auburn,2.0,60.0,36.0
Vivid burgundy,349.0,69.0,37.0
Vivid cerise,328.0,77.0,48.0
Vivid cerulean,197.0,100.0,47.0
Vivid crimson,345.0,100.0,40.0
Vivid gamboge,36.0,100.0,50.0
Vivid lime green,74.0,93.0,44.0
Vivid malachite,135.0,100.0,40.0
Vivid mulberry,288.0,90.0,47.0
Vivid orange,22.0,100.0,50.0
Vivid orange peel,18.0,100.0,50.0
Vivid orchid,288.0,100.0,50.0
Vivid raspberry,335.0,100.0,50.0
Vivid red,357.0,94.0,51.0
Vivid red-tangelo,20.0,75.0,51.0
Vivid sky blue,192.0,100.0,50.0
Vivid tangelo,23.0,87.0,55.0
Vivid tangerine,12.0,100.0,77.0
Vivid vermilion,19.0,79.0,52.0
Vivid violet,277.0,100.0,50.0
Vivid yellow,53.0,100.0,50.0
Volt,72.0,100.0,50.0
Wageningen Green,120.0,56.0,45.0
Warm black,180.0,100.0,13.0
Waterspout,184.0,88.0,81.0
Weldon Blue,204.0,22.0,58.0
Wenge,7.0,10.0,36.0
Wheat,39.0,77.0,83.0
White,0.0,0.0,100.0
White smoke,0.0,0.0,96.0
Wild blue yonder,226.0,33.0,73.0
Wild orchid,330.0,54.0,64.0
Wild Strawberry,329.0,100.0,63.0
Wild watermelon,350.0,96.0,71.0
Willpower orange,21.0,100.0,50.0
Windsor tan,30.0,98.0,33.0
Wine,353.0,42.0,32.0
Wine dregs,336.0,36.0,30.0
Winter Sky,331.0,100.0,50.0
Winter Wizard,196.0,100.0,81.0
Wintergreen Dream,167.0,23.0,44.0
Wisteria,281.0,46.0,75.0
Wood brown,33.0,41.0,59.0
Xanadu,136.0,8.0,49.0
Yale Blue,212.0,81.0,32.0
Yankees blue,221.0,40.0,18.0
Yellow,60.0,100.0,50.0
Yellow (Crayola),50.0,95.0,75.0
Yellow (Munsell),51.0,100.0,47.0
Yellow (NCS),50.0,100.0,50.0
Yellow (Pantone),53.0,100.0,50.0
Yellow (process),56.0,100.0,50.0
Yellow (RYB),60.0,99.0,60.0
Yellow-green,80.0,61.0,50.0
Yellow Orange,34.0,100.0,63.0
Yellow rose,56.0,100.0,50.0
Yellow Sunshine,58.0,100.0,50.0
Zaffre,233.0,100.0,33.0
Zinnwaldite brown,23.0,69.0,10.0
Zomp,166.0,49.0,44.0
